county_name,alpha,NUI,capacity,underserved,ub_x,opt_x,opt_y,opt_newly_insured
Queens County,3.76,44302,2356.4893617021276,1,100.0,100.0,1,376.0
Westchester County,3.7,10602,573.081081081081,1,100.0,100.0,1,370.0
Nassau County,3.24,8823,544.6296296296297,1,100.0,100.0,1,324.0
Suffolk County,3.24,11586,715.1851851851852,1,100.0,100.0,1,324.0
Ulster County,2.8000000000000003,2386,170.42857142857142,1,100.0,100.0,1,280.0
Rockland County,2.7800000000000002,3575,257.1942446043165,1,100.0,100.0,1,278.0
Dutchess County,2.7,2540,188.14814814814812,1,100.0,100.0,1,270.0
Orange County,2.7,3874,286.962962962963,1,100.0,100.0,1,270.0
Kings County,2.52,43141,3423.888888888889,1,100.0,100.0,1,252.0
Richmond County,2.48,4947,398.95161290322585,1,100.0,100.0,1,248.0
Putnam County,3.54,715,40.3954802259887,1,40.3954802259887,0.0,0,0.0
Yates County,3.2799999999999994,328,20.000000000000007,1,20.000000000000007,0.0,0,0.0
Hamilton County,2.7800000000000002,51,3.6690647482014387,1,3.6690647482014387,0.0,0,0.0
Wayne County,2.48,922,74.35483870967742,1,74.35483870967742,0.0,0,0.0
Sullivan County,2.44,1047,85.81967213114754,1,85.81967213114754,0.0,0,0.0
Bronx County,2.42,30862,2550.5785123966944,1,100.0,0.0,0,0.0
Columbia County,2.3800000000000003,590,49.579831932773104,1,49.579831932773104,0.0,0,0.0
Seneca County,2.3800000000000003,381,32.016806722689076,1,32.016806722689076,0.0,0,0.0
Steuben County,2.3600000000000003,1111,94.15254237288136,1,94.15254237288136,0.0,0,0.0
Schenectady County,2.34,1606,137.2649572649573,1,100.0,0.0,0,0.0
Essex County,2.32,373,32.15517241379311,1,32.15517241379311,0.0,0,0.0
Saratoga County,2.3000000000000003,1430,124.3478260869565,1,100.0,0.0,0,0.0
Orleans County,2.2399999999999998,470,41.964285714285715,1,41.964285714285715,0.0,0,0.0
New York County,2.22,19113,1721.8918918918919,1,100.0,0.0,0,0.0
Albany County,2.2,2811,255.54545454545453,1,100.0,0.0,0,0.0
Cattaraugus County,2.2,937,85.18181818181817,1,85.18181818181817,0.0,0,0.0
Rensselaer County,2.14,1351,126.26168224299064,1,100.0,0.0,0,0.0
Greene County,2.12,441,41.60377358490566,1,41.60377358490566,0.0,0,0.0
Herkimer County,2.12,613,57.83018867924528,1,57.83018867924528,0.0,0,0.0
Oneida County,2.12,2330,219.81132075471697,1,100.0,0.0,0,0.0
Otsego County,2.12,557,52.54716981132076,1,52.54716981132076,0.0,0,0.0
Washington County,2.1,597,56.857142857142854,0,56.857142857142854,0.0,0,0.0
Genesee County,2.08,514,49.42307692307693,0,49.42307692307693,0.0,0,0.0
Monroe County,2.06,7107,690.0,0,100.0,0.0,0,0.0
Tompkins County,2.06,1167,113.30097087378641,0,100.0,0.0,0,0.0
Delaware County,2.04,491,48.13725490196079,0,48.13725490196079,0.0,0,0.0
Onondaga County,2.04,4502,441.3725490196079,0,100.0,0.0,0,0.0
Oswego County,2.04,1306,128.0392156862745,0,100.0,0.0,0,0.0
Ontario County,2.02,781,77.32673267326733,0,77.32673267326733,0.0,0,0.0
St. Lawrence County,2.02,1134,112.27722772277228,0,100.0,0.0,0,0.0
Clinton County,2.0,750,75.0,0,75.0,0.0,0,0.0
Schuyler County,2.0,185,18.5,0,18.5,0.0,0,0.0
Tioga County,2.0,394,39.400000000000006,0,39.400000000000006,0.0,0,0.0
Livingston County,1.98,489,49.3939393939394,0,49.3939393939394,0.0,0,0.0
Broome County,1.96,2274,232.04081632653063,0,100.0,0.0,0,0.0
Chemung County,1.96,841,85.81632653061226,0,85.81632653061226,0.0,0,0.0
Montgomery County,1.96,544,55.51020408163266,0,55.51020408163266,0.0,0,0.0
Lewis County,1.9399999999999997,246,25.360824742268047,0,25.360824742268047,0.0,0,0.0
Cayuga County,1.92,698,72.70833333333333,0,72.70833333333333,0.0,0,0.0
Fulton County,1.92,567,59.06250000000001,0,59.06250000000001,0.0,0,0.0
Schoharie County,1.92,248,25.833333333333336,0,25.833333333333336,0.0,0,0.0
Warren County,1.92,490,51.04166666666667,0,51.04166666666667,0.0,0,0.0
Chenango County,1.9,445,46.8421052631579,0,46.8421052631579,0.0,0,0.0
Franklin County,1.88,473,50.31914893617022,0,50.31914893617022,0.0,0,0.0
Allegany County,1.8600000000000003,446,47.956989247311824,0,47.956989247311824,0.0,0,0.0
Chautauqua County,1.8600000000000003,1419,152.5806451612903,0,100.0,0.0,0,0.0
Cortland County,1.8600000000000003,405,43.548387096774185,0,43.548387096774185,0.0,0,0.0
Wyoming County,1.8399999999999999,293,31.847826086956523,0,31.847826086956523,0.0,0,0.0
Jefferson County,1.7800000000000002,1077,121.01123595505616,0,100.0,0.0,0,0.0
Niagara County,1.7800000000000002,1696,190.56179775280899,0,100.0,0.0,0,0.0
Madison County,1.7199999999999998,424,49.302325581395365,0,49.302325581395365,0.0,0,0.0
Erie County,1.6600000000000001,7641,920.6024096385541,0,100.0,0.0,0,0.0
