county_name,alpha,NUI,capacity,underserved,ub_x,opt_x,opt_y,opt_newly_insured,solver_x,solver_y,ub_x*solver_y,x_min*solver_y,,Objective,,,
Queens County,3.18,55710,3503.773585,1,100,100,1,318,0,0,0,0,,0,,,
Ulster County,3.18,3940,247.7987421,1,100,100,1,318,0,0,0,0,,,,,
Westchester County,3.04,13749,904.5394737,1,100,100,1,304,0,0,0,0,,,,,
Rockland County,3,6104,406.9333333,1,100,100,1,300,0,0,0,0,,Parameters,,,
Suffolk County,2.88,17219,1195.763889,1,100,100,1,288,0,0,0,0,,B,,1000,
Nassau County,2.7,12431,920.8148148,1,100,100,1,270,0,0,0,0,,x_min,,20,
Orange County,2.64,6281,475.8333333,1,100,100,1,264,0,0,0,0,,min_underserved,,3,
Dutchess County,2.52,3639,288.8095238,1,100,100,1,252,0,0,0,0,,K,,10,
Sullivan County,2.42,1490,123.1404959,1,100,100,1,242,0,0,0,0,,M,,100,
Wayne County,2.32,1359,117.1551724,1,100,100,1,232,0,0,0,0,,,,,
Yates County,3.56,579,32.52808989,1,32.52808989,0,0,0,0,0,0,0,,,,,
Putnam County,2.84,1033,72.74647887,1,72.74647887,0,0,0,0,0,0,0,,Constraints,,,
New York County,2.3,26740,2325.217391,1,100,0,0,0,0,0,0,0,0,sum(solver_x),,<=,B
Seneca County,2.3,553,48.08695652,1,48.08695652,0,0,0,0,0,0,0,,solver_x,,<= ,ub_x*solver_y
Hamilton County,2.28,66,5.789473684,1,5.789473684,0,0,0,0,0,0,0,,solver_x,,>=,x_min*solver_y
Orleans County,2.22,676,60.9009009,1,60.9009009,0,0,0,0,0,0,0,0,sum(solver_y),,<=,K
Bronx County,2.2,37428,3402.545455,1,100,0,0,0,0,0,0,0,0,"SUMPRODUCT(underserved, y_i)",,>=,min_underserved
Columbia County,2.2,813,73.90909091,1,73.90909091,0,0,0,0,0,0,0,,,,,
Essex County,2.2,532,48.36363636,1,48.36363636,0,0,0,0,0,0,0,,,,,
Livingston County,2.2,831,75.54545455,1,75.54545455,0,0,0,0,0,0,0,,,,,
Ontario County,2.18,1334,122.3853211,1,100,0,0,0,0,0,0,0,,,,,
Richmond County,2.18,6629,608.1651376,1,100,0,0,0,0,0,0,0,,,,,
Kings County,2.14,48970,4576.635514,1,100,0,0,0,0,0,0,0,,,,,
Schoharie County,2.14,419,39.1588785,1,39.1588785,0,0,0,0,0,0,0,,,,,
Rensselaer County,2.12,1997,188.3962264,1,100,0,0,0,0,0,0,0,,,,,
Montgomery County,2.1,852,81.14285714,1,81.14285714,0,0,0,0,0,0,0,,,,,
Otsego County,2.08,811,77.98076923,1,77.98076923,0,0,0,0,0,0,0,,,,,
Saratoga County,2.06,2157,209.4174757,1,100,0,0,0,0,0,0,0,,,,,
Delaware County,2.02,689,68.21782178,1,68.21782178,0,0,0,0,0,0,0,,,,,
Tompkins County,2.02,1489,147.4257426,1,100,0,0,0,0,0,0,0,,,,,
Albany County,2,3912,391.2,1,100,0,0,0,0,0,0,0,,,,,
Broome County,1.98,3182,321.4141414,0,100,0,0,0,0,0,0,0,,,,,
Oswego County,1.98,1782,180,0,100,0,0,0,0,0,0,0,,,,,
Lewis County,1.96,391,39.89795918,0,39.89795918,0,0,0,0,0,0,0,,,,,
Chautauqua County,1.94,2123,218.8659794,0,100,0,0,0,0,0,0,0,,,,,
Schuyler County,1.94,263,27.11340206,0,27.11340206,0,0,0,0,0,0,0,,,,,
Steuben County,1.94,1338,137.9381443,0,100,0,0,0,0,0,0,0,,,,,
Chemung County,1.9,1210,127.3684211,0,100,0,0,0,0,0,0,0,,,,,
Jefferson County,1.88,1730,184.0425532,0,100,0,0,0,0,0,0,0,,,,,
Allegany County,1.86,642,69.03225806,0,69.03225806,0,0,0,0,0,0,0,,,,,
Madison County,1.86,752,80.86021505,0,80.86021505,0,0,0,0,0,0,0,,,,,
Wyoming County,1.86,448,48.17204301,0,48.17204301,0,0,0,0,0,0,0,,,,,
Cayuga County,1.82,951,104.5054945,0,100,0,0,0,0,0,0,0,,,,,
Fulton County,1.82,784,86.15384615,0,86.15384615,0,0,0,0,0,0,0,,,,,
Oneida County,1.82,3058,336.043956,0,100,0,0,0,0,0,0,0,,,,,
Warren County,1.82,722,79.34065934,0,79.34065934,0,0,0,0,0,0,0,,,,,
Greene County,1.8,586,65.11111111,0,65.11111111,0,0,0,0,0,0,0,,,,,
Monroe County,1.8,9003,1000.333333,0,100,0,0,0,0,0,0,0,,,,,
